API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
30-025-47452-00,840300005442485,0,ACTUAL,0,0,0.54,0,0,,0,0,,0,32.02050,-103.31728,11627118.24,2161798.89,2970
30-025-47452-00,840300005442485,1,ACTUAL,235.0,0.20,241.44,0,235,,-0.20,-0.36,,0.09,32.02050,-103.31728,11627118.04,2161798.53,2735
30-025-47452-00,840300005442485,2,ACTUAL,327.0,0.40,132.74,0,327,,-0.49,-0.27,,0.54,32.02050,-103.31728,11627117.74,2161798.63,2643
30-025-47452-00,840300005442485,3,ACTUAL,419.0,0.70,232.04,0,419,,-1.05,-0.47,,0.94,32.02050,-103.31728,11627117.18,2161798.43,2551
30-025-47452-00,840300005442485,4,ACTUAL,511.0,0.40,161.84,0,511,,-1.71,-0.82,,0.74,32.02050,-103.31729,11627116.52,2161798.10,2459
30-025-47452-00,840300005442485,5,ACTUAL,603.0,1.10,178.14,0,603,,-2.89,-0.69,,0.79,32.02049,-103.31729,11627115.33,2161798.25,2367
30-025-47452-00,840300005442485,6,ACTUAL,729.0,1.40,287.54,0,729,,-3.64,-2.12,,1.63,32.02049,-103.31729,11627114.57,2161796.83,2241
30-025-47452-00,840300005442485,7,ACTUAL,821.0,1.20,302.84,0,821,,-2.78,-4.00,,0.43,32.02049,-103.31730,11627115.40,2161794.94,2149
30-025-47452-00,840300005442485,8,ACTUAL,913.0,1.50,316.84,0,913,,-1.38,-5.63,,0.48,32.02050,-103.31730,11627116.77,2161793.28,2057
30-025-47452-00,840300005442485,9,ACTUAL,954.0,1.50,315.44,0,954,,-0.60,-6.37,,0.09,32.02050,-103.31730,11627117.54,2161792.53,2016
30-025-47452-00,840300005442485,10,ACTUAL,1110.0,1.70,323.94,0,1110,,2.72,-9.17,,0.20,32.02051,-103.31731,11627120.82,2161789.68,1860
30-025-47452-00,840300005442485,11,ACTUAL,1204.0,0.40,314.94,0,1204,,4.08,-10.22,,1.39,32.02051,-103.31732,11627122.16,2161788.61,1766
30-025-47452-00,840300005442485,12,ACTUAL,1299.0,0.80,125.34,0,1299,,3.93,-9.91,,1.26,32.02051,-103.31732,11627122.01,2161788.92,1671
